date,bonded_percentage,apr,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circ_supply,token,bonded_tokens,has_liquid_staking,chain,inflation
2023-10-29,0.6634,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246676263.0,True,Atom,0.142
2023-10-29,0.6634,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246676263.0,True,Atom,0.142
2023-10-29,0.6635,0.209,0.039573375018,2.189919958139,8.416370754758,1.070243451205,7.18424558794726,58466396.94,2671129845.6532536,371803805.0,371803805.0,Cosmos,246676263.0,True,Atom,0.142
2023-10-30,0.6636,0.209,-0.772147148555,1.844024288786,8.396281686467,2.907606255729,7.31672482155505,61099006.13,2721619648.1130548,371972394.0,371972394.0,Cosmos,246948208.0,True,Atom,0.142
2023-10-31,0.6627,0.21,1.727377715579,10.849552115564,15.597930121213,12.011175948855,8.110556694222073,162556705.14,3018279121.834015,372142041.0,372142041.0,Cosmos,246727038.0,True,Atom,0.142
2023-11-01,0.6622,0.21,0.499457361992,-2.16724357434,13.50713702437,4.897033250037,7.934781175423321,234092463.21,2954200577.356242,372310277.0,372310277.0,Cosmos,246657495.0,True,Atom,0.142
2023-11-02,0.6583,0.21100000000000002,-0.355203321504,-0.66771668288,10.75138881444,10.177272179736,7.88179931776496,177919711.63,2935814509.3947277,372480241.0,372480241.0,Cosmos,245320396.0,True,Atom,0.142
2023-11-03,0.6585,0.21100000000000002,0.713137364091,-0.482683545597,9.556467457083,10.950062825087,7.843755169361101,173905792.84,2922933791.9600167,372644700.0,372644700.0,Cosmos,245482183.0,True,Atom,0.142
2023-11-04,0.6578,0.212,0.096873412017,-1.095856005627,10.34823902949,11.288922379623,7.757798907271004,135219721.33,2892187244.8657885,372810288.0,372810288.0,Cosmos,245350244.0,True,Atom,0.142
2023-11-05,0.6577,0.212,-1.094736700081,4.584805221771,12.934319649063,18.656714059562,8.113478876666068,128520035.01,3026160564.466373,372979410.0,372979410.0,Cosmos,245405093.0,True,Atom,0.142
2023-11-06,0.6578,0.212,0.487150847884,3.225999950029,14.466785418793,21.119204152698,8.375219701172949,158573543.08,3125215199.6693153,373150235.0,373150235.0,Cosmos,245580067.0,True,Atom,0.142
